CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
THEFT/LARCENY,08/29/2017 07:15:00 PM,17-913620,GRAND THEFT,,500 20TH ST,Oakland,CA,"500 20TH ST
Oakland, CA
(37.809581, -122.269628)"
DRUGS/ALCOHOL VIOLATIONS,10/29/2017 03:53:00 AM,17-056735,POSSESS CONTROLLED SUBSTANCE,08X,3600 WEBSTER ST,Oakland,CA,"3600 WEBSTER ST
Oakland, CA
(37.823687, -122.262027)"
BURGLARY,09/01/2017 09:00:00 AM,17-045970,BURGLARY-FORCIBLE ENTRY,33X,1100 88TH AV,Oakland,CA,"1100 88TH AV
Oakland, CA
(37.748886, -122.180367)"
VANDALISM,09/29/2017 08:30:00 PM,17-915378,VANDALISM,,4000 40TH AND MLK JR,Oakland,CA,"4000 40TH AND MLK JR
Oakland, CA
"
ASSAULT,11/22/2017 01:10:00 PM,17-061050,BATTERY,10X,600 46TH ST,Oakland,CA,"600 46TH ST
Oakland, CA
(37.834209, -122.266853)"
ASSAULT,09/08/2017 05:15:00 PM,17-047270,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,08X,400 W MACARTHUR BLVD,Oakland,CA,"400 W MACARTHUR BLVD
Oakland, CA
(37.825298, -122.261582)"
MOTOR VEHICLE THEFT,09/08/2017 05:00:00 PM,17-047417,VEHICLE THEFT - AUTO,04X,500 18TH ST,Oakland,CA,"500 18TH ST
Oakland, CA
(37.807631, -122.270257)"
ROBBERY,10/15/2017 11:00:00 PM,17-054166,CARJACKING WITH FIREARM,06X,600 29TH ST,Oakland,CA,"600 29TH ST
Oakland, CA
(37.819033, -122.27067)"
THEFT/LARCENY,09/02/2017 12:30:00 AM,17-913858,BURGLARY-AUTO,08X,300 27TH ST,Oakland,CA,"300 27TH ST
Oakland, CA
(37.81483, -122.262902)"
THEFT/LARCENY,10/12/2017 07:15:00 PM,17-916197,BURGLARY-AUTO,08X,2600 TELEGRAPH AVE,Oakland,CA,"2600 TELEGRAPH AVE
Oakland, CA
(37.815778, -122.268012)"
THEFT/LARCENY,10/25/2017 07:40:00 AM,17-916890,BURGLARY-AUTO,08X,400 W GRAND AVE,Oakland,CA,"400 W GRAND AVE
Oakland, CA
(37.81154, -122.266726)"
MOTOR VEHICLE THEFT,10/20/2017 12:40:00 PM,17-055126,VEHICLE THEFT - AUTO,28X,5400 EL CAMILE AV,Oakland,CA,"5400 EL CAMILE AV
Oakland, CA
(37.775472, -122.19547)"
ASSAULT,10/29/2017 03:47:00 PM,17-056799,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,700 13TH ST,Oakland,CA,"700 13TH ST
Oakland, CA
(37.805784, -122.276999)"
VANDALISM,10/04/2017 10:30:00 PM,17-052260,VANDALISM:DAMAGE PROPERTY,11X,700 AILEEN ST,Oakland,CA,"700 AILEEN ST
Oakland, CA
(37.841674, -122.267524)"
ASSAULT,11/17/2017 07:07:00 PM,17-060240,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,19X,1500 E 12TH ST,Oakland,CA,"1500 E 12TH ST
Oakland, CA
(37.787888, -122.245608)"
VANDALISM,08/31/2017 06:05:00 PM,17-045747,VANDALISM,08X,2300 HARRISON ST,Oakland,CA,"2300 HARRISON ST
Oakland, CA
(37.811434, -122.262063)"
VANDALISM,09/28/2017 05:30:00 PM,17-915424,VANDALISM,12Y,5300 COLLEGE AVE,Oakland,CA,"5300 COLLEGE AVE
Oakland, CA
(37.837843, -122.25129)"
MOTOR VEHICLE THEFT,11/17/2017 04:07:00 PM,17-060213,VEHICLE THEFT - AUTO,24X,3400 ALEXANDER CT,Oakland,CA,"3400 ALEXANDER CT
Oakland, CA
(37.783467, -122.21906)"
VANDALISM,11/04/2017 09:00:00 PM,17-917447,VANDALISM,13Z,2000 MOUNTAIN BOULEVARD,Oakland,CA,"2000 MOUNTAIN BOULEVARD
Oakland, CA
(37.827181, -122.209917)"
THEFT/LARCENY,10/14/2017 03:30:00 PM,17-916764,THEFT,09X,00 KELTON COURT,Oakland,CA,"00 KELTON COURT
Oakland, CA
"
THEFT/LARCENY,11/22/2017 11:15:00 AM,17-061352,THEFT,10Y,900 45TH ST,Oakland,CA,"900 45TH ST
Oakland, CA
(37.834494, -122.273158)"
THEFT/LARCENY,10/23/2017 09:30:00 PM,17-916852,BURGLARY-AUTO,03X,200 11TH ST,Oakland,CA,"200 11TH ST
Oakland, CA
(37.799926, -122.266534)"
ASSAULT,09/06/2017 11:50:00 PM,17-046964,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03Y,800 WASHINGTON ST,Oakland,CA,"800 WASHINGTON ST
Oakland, CA
(37.80069, -122.275)"
THEFT/LARCENY,11/06/2017 12:00:00 AM,17-917474,THEFT,10Y,800 61ST ST,Oakland,CA,"800 61ST ST
Oakland, CA
"
DISTURBING THE PEACE,10/04/2017 12:30:00 PM,17-052027,DISTURB THE PEACE,18Y,1900 E 28TH ST,Oakland,CA,"1900 E 28TH ST
Oakland, CA
(37.796569, -122.230973)"
VANDALISM,11/06/2017 06:30:00 PM,17-917477,VANDALISM,,MONTANA/FRUITVALE AVE,Oakland,CA,"MONTANA/FRUITVALE AVE
Oakland, CA
"
ASSAULT,08/31/2017 03:00:00 PM,17-045816,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,2000 46TH AV,Oakland,CA,"2000 46TH AV
Oakland, CA
(37.774934, -122.208601)"
ROBBERY,09/04/2017 10:01:00 PM,17-046471,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",10X,4000 BLK OF MLK JR WAY,Oakland,CA,"4000 BLK OF MLK JR WAY
Oakland, CA
"
VANDALISM,10/14/2017 04:00:00 AM,17-916233,VANDALISM,05X,1700 LINDEN ST,Oakland,CA,"1700 LINDEN ST
Oakland, CA
(37.811312, -122.283158)"
THEFT/LARCENY,09/05/2017 07:30:00 PM,17-914050,BURGLARY-AUTO,08X,200 23RD,Oakland,CA,"200 23RD
Oakland, CA
(37.811455, -122.26222)"
THEFT/LARCENY,09/05/2017 06:35:00 AM,17-913988,BURGLARY-AUTO,09X,4100 PIEDMONT AVE,Oakland,CA,"4100 PIEDMONT AVE
Oakland, CA
(37.826568, -122.252189)"
VANDALISM,11/04/2017 07:30:00 PM,17-917482,VANDALISM,,MONTECITO AVE/BAY PL,Oakland,CA,"MONTECITO AVE/BAY PL
Oakland, CA
"
ASSAULT,11/24/2017 07:30:00 AM,17-061315,BATTERY,29X,6000 OUTLOOK AV,Oakland,CA,"6000 OUTLOOK AV
Oakland, CA
(37.778829, -122.179749)"
THEFT/LARCENY,10/23/2017 09:00:00 PM,17-916854,BURGLARY-AUTO,03X,1100 WEBSTER ST,Oakland,CA,"1100 WEBSTER ST
Oakland, CA
(37.801311, -122.270082)"
VANDALISM,09/09/2017 10:05:00 PM,17-914260,VANDALISM,23X,3900 ALAMEDA AVE,Oakland,CA,"3900 ALAMEDA AVE
Oakland, CA
(37.768227, -122.225001)"
VANDALISM,10/01/2017 02:45:00 AM,17-915400,VANDALISM,21Y,3200 BROOKDALE AVE,Oakland,CA,"3200 BROOKDALE AVE
Oakland, CA
(37.791114, -122.213404)"
ROBBERY,11/24/2017 12:00:00 AM,17-061277,ROBBERY-FIREARM,10Y,4300 MARTIN LUTHER KING JR W,Oakland,CA,"4300 MARTIN LUTHER KING JR W
Oakland, CA
"
THEFT/LARCENY,09/28/2017 08:00:00 AM,17-916229,BURGLARY-AUTO,25X,4400 DAVENPORT AVE,Oakland,CA,"4400 DAVENPORT AVE
Oakland, CA
(37.791466, -122.184263)"
MOTOR VEHICLE THEFT,11/01/2017 07:00:00 PM,17-057663,VEHICLE THEFT - AUTO,17Y,1300 E 27TH ST,Oakland,CA,"1300 E 27TH ST
Oakland, CA
(37.798401, -122.235994)"
ROBBERY,09/17/2017 10:55:00 PM,17-048872,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14Y,400 MANDANA BLVD,Oakland,CA,"400 MANDANA BLVD
Oakland, CA
(37.814232, -122.246232)"
MOTOR VEHICLE THEFT,11/22/2017 06:00:00 PM,17-061111,VEHICLE THEFT - AUTO,27Y,2100 57TH AVE,Oakland,CA,"2100 57TH AVE
Oakland, CA
(37.76981, -122.196374)"
BURGLARY,08/28/2017 05:30:00 AM,17-045185,BURGLARY-FORCIBLE ENTRY,08X,3100 HARRISON ST,Oakland,CA,"3100 HARRISON ST
Oakland, CA
(37.817431, -122.257106)"
FRAUD,10/13/2017 07:20:00 PM,17-916251,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,25X,4400 STEELE ST,Oakland,CA,"4400 STEELE ST
Oakland, CA
(37.788831, -122.188524)"
VANDALISM,10/22/2017 10:10:00 PM,17-916792,VANDALISM,03Y,1000 BROADWAY,Oakland,CA,"1000 BROADWAY
Oakland, CA
(37.801954, -122.272606)"
DRUGS/ALCOHOL VIOLATIONS,09/10/2017 11:53:00 AM,17-047506,POSSESS CONTROLLED SUBSTANCE,14X,300 GRAND AV,Oakland,CA,"300 GRAND AV
Oakland, CA
(37.809029, -122.256834)"
MOTOR VEHICLE THEFT,10/06/2017 06:00:00 PM,17-052600,VEHICLE THEFT - AUTO,14Y,800 ERIE ST,Oakland,CA,"800 ERIE ST
Oakland, CA
(37.812191, -122.243231)"
DISTURBING THE PEACE,08/29/2017 05:57:00 PM,17-045322,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
ASSAULT,11/24/2017 03:25:00 AM,17-061294,BATTERY,06X,2500 MARTIN LUTHER KING JR W,Oakland,CA,"2500 MARTIN LUTHER KING JR W
Oakland, CA
"
THEFT/LARCENY,09/02/2017 02:00:00 AM,17-913936,GRAND THEFT,08X,500 37TH ST,Oakland,CA,"500 37TH ST
Oakland, CA
(37.825642, -122.265393)"
THEFT/LARCENY,09/02/2017 01:00:00 PM,17-046084,BURGLARY-AUTO,04X,1900 WEBSTER ST,Oakland,CA,"1900 WEBSTER ST
Oakland, CA
(37.807079, -122.26648)"
ASSAULT,11/09/2017 03:00:00 AM,17-058822,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,1000 76TH AV,Oakland,CA,"1000 76TH AV
Oakland, CA
(37.754202, -122.19097)"
MOTOR VEHICLE THEFT,11/22/2017 04:00:00 PM,17-061368,VEHICLE THEFT - AUTO,06X,600 MACARTHUR BLVD,Oakland,CA,"600 MACARTHUR BLVD
Oakland, CA
(37.817176, -122.25279)"
ROBBERY,09/09/2017 02:45:00 AM,17-047333,ROBBERY-FIREARM,14X,200 VERNON ST,Oakland,CA,"200 VERNON ST
Oakland, CA
(37.813509, -122.258949)"
MOTOR VEHICLE THEFT,11/23/2017 09:36:00 PM,17-061256,VEHICLE THEFT - AUTO,27X,1600 HIGH ST,Oakland,CA,"1600 HIGH ST
Oakland, CA
(37.773599, -122.213189)"
DISTURBING THE PEACE,11/22/2017 10:15:00 PM,17-061343,DISTURB THE PEACE,32X,10800 INTERNATIONAL BLVD,Oakland,CA,"10800 INTERNATIONAL BLVD
Oakland, CA
(37.737224, -122.165106)"
MOTOR VEHICLE THEFT,09/01/2017 05:00:00 AM,17-045901,VEHICLE THEFT - AUTO,09X,3600 BROADWAY,Oakland,CA,"3600 BROADWAY
Oakland, CA
(37.823327, -122.259244)"
FRAUD,09/01/2017 11:35:00 PM,17-913853,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21X,2600 E 20TH ST,Oakland,CA,"2600 E 20TH ST
Oakland, CA
(37.785295, -122.228084)"
DISTURBING THE PEACE,09/19/2017 03:00:00 PM,17-914727,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
ASSAULT,11/17/2017 04:05:00 PM,17-060232,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,24Y,3100 35TH AV,Oakland,CA,"3100 35TH AV
Oakland, CA
(37.790758, -122.205631)"
VANDALISM,09/05/2017 04:30:00 PM,17-046668,VANDALISM:DAMAGE PROPERTY,11X,6300 TELEGRAPH AV,Oakland,CA,"6300 TELEGRAPH AV
Oakland, CA
(37.848871, -122.260697)"
MOTOR VEHICLE THEFT,09/06/2017 11:03:00 AM,17-046837,VEHICLE THEFT - AUTO,35X,8200 IRIS ST,Oakland,CA,"8200 IRIS ST
Oakland, CA
(37.761594, -122.166773)"
ASSAULT,10/29/2017 09:00:00 AM,17-056763,THREAT CRIME:INT:TERRORIZE,27X,2100 47TH AV,Oakland,CA,"2100 47TH AV
Oakland, CA
(37.775219, -122.20688)"
ASSAULT,08/28/2017 04:00:00 PM,17-045099,BATTERY,33X,1200 84TH AV,Oakland,CA,"1200 84TH AV
Oakland, CA
(37.752563, -122.180932)"
VANDALISM,08/31/2017 08:00:00 PM,17-913747,VANDALISM,03X,800 WEBSTER ST,Oakland,CA,"800 WEBSTER ST
Oakland, CA
(37.799511, -122.271207)"
THEFT/LARCENY,09/09/2017 09:35:00 AM,17-914243,BURGLARY-AUTO,23X,4000 ALAMEDA AVE,Oakland,CA,"4000 ALAMEDA AVE
Oakland, CA
(37.768208, -122.22405)"
THEFT/LARCENY,10/21/2017 06:00:00 PM,17-916827,BURGLARY-AUTO,08X,2700BLK TELEGRAPH AVE,Oakland,CA,"2700BLK TELEGRAPH AVE
Oakland, CA
(37.816241, -122.267896)"
THEFT/LARCENY,10/13/2017 11:45:00 PM,17-916245,BURGLARY-AUTO,03X,300 11TH ST,Oakland,CA,"300 11TH ST
Oakland, CA
(37.800855, -122.268903)"
VANDALISM,08/30/2017 10:15:00 PM,17-913715,VANDALISM,24X,3600 FOOTHILL BOULEVARD,Oakland,CA,"3600 FOOTHILL BOULEVARD
Oakland, CA
(37.780592, -122.218461)"
VANDALISM,10/23/2017 07:15:00 PM,17-916858,VANDALISM,19X,1900 EMBARCADERO COVE,Oakland,CA,"1900 EMBARCADERO COVE
Oakland, CA
"
MOTOR VEHICLE THEFT,09/03/2017 03:27:00 PM,17-046245,VEHICLE THEFT - AUTO,14X,2300 HARRISON ST,Oakland,CA,"2300 HARRISON ST
Oakland, CA
(37.811434, -122.262063)"
ASSAULT,10/03/2017 11:00:00 PM,17-052314,BATTERY W/SERIOUS BODILY INJURY,08X,2200 TELEGRAPH AV,Oakland,CA,"2200 TELEGRAPH AV
Oakland, CA
(37.811615, -122.269048)"
ASSAULT,11/02/2017 09:53:00 PM,17-057670,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,34X,1700 84TH AV,Oakland,CA,"1700 84TH AV
Oakland, CA
(37.756024, -122.174434)"
VANDALISM,10/24/2017 10:40:00 AM,17-916802,VANDALISM,29X,6200 LAIRD AVE,Oakland,CA,"6200 LAIRD AVE
Oakland, CA
(37.776039, -122.179119)"
THEFT/LARCENY,10/19/2017 08:30:00 PM,17-916779,BURGLARY-AUTO,12Y,5300 COLLEGE AVE,Oakland,CA,"5300 COLLEGE AVE
Oakland, CA
(37.837843, -122.25129)"
DUI,11/23/2017 11:43:00 PM,17-061273,DUI ALCOHOL/DRUGS,24X,IFO 3606 LYON AVE,Oakland,CA,"IFO 3606 LYON AVE
Oakland, CA
"
THEFT/LARCENY,09/05/2017 04:30:00 PM,17-046692,BURGLARY-AUTO,12X,5800BLK BIRCH CT,Oakland,CA,"5800BLK BIRCH CT
Oakland, CA
(37.845963, -122.251931)"
THEFT/LARCENY,11/05/2017 09:00:00 AM,17-917445,BURGLARY-AUTO,,SNELL ST,Oakland,CA,"SNELL ST
Oakland, CA
"
VANDALISM,10/12/2017 09:30:00 PM,17-916198,VANDALISM,,2ND ST,Oakland,CA,"2ND ST
Oakland, CA
"
MOTOR VEHICLE THEFT,10/05/2017 10:50:00 AM,17-052511,VEHICLE THEFT - AUTO,26X,800 49TH AV,Oakland,CA,"800 49TH AV
Oakland, CA
(37.766138, -122.214157)"
MOTOR VEHICLE THEFT,09/11/2017 11:30:00 AM,17-048124,VEHICLE THEFT - AUTO,29X,2900 HAVENSCOURT BLVD,Oakland,CA,"2900 HAVENSCOURT BLVD
Oakland, CA
(37.770718, -122.181775)"
VANDALISM,10/04/2017 10:00:00 AM,17-915341,VANDALISM,08X,400 23RD ST,Oakland,CA,"400 23RD ST
Oakland, CA
(37.812236, -122.266673)"
MOTOR VEHICLE THEFT,09/16/2017 01:30:00 PM,17-048650,VEHICLE THEFT - AUTO,19X,1400 18TH AV,Oakland,CA,"1400 18TH AV
Oakland, CA
(37.787078, -122.242086)"
MOTOR VEHICLE THEFT,08/29/2017 12:05:00 PM,17-045271,VEHICLE THEFT - AUTO,30X,8100 HOLLY ST,Oakland,CA,"8100 HOLLY ST
Oakland, CA
(37.757389, -122.177985)"
THEFT/LARCENY,09/16/2017 06:00:00 AM,17-915413,BURGLARY-AUTO,31X,00 HEGENBERGER ROAD,Oakland,CA,"00 HEGENBERGER ROAD
Oakland, CA
"
THEFT/LARCENY,10/28/2017 08:00:00 PM,17-056725,THEFT,31Y,9400 EMPIRE RD,Oakland,CA,"9400 EMPIRE RD
Oakland, CA
(37.734359, -122.194939)"
THEFT/LARCENY,09/01/2017 08:40:00 PM,17-913877,BURGLARY-AUTO,08X,3400 PIEDMONT AVE,Oakland,CA,"3400 PIEDMONT AVE
Oakland, CA
(37.821624, -122.259431)"
FRAUD,10/24/2017 03:40:00 PM,17-916868,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,05X,1000 18TH ST,Oakland,CA,"1000 18TH ST
Oakland, CA
(37.811668, -122.282176)"
ASSAULT,09/13/2017 07:00:00 PM,17-049466,EXHIBIT FIREARM,04X,500 17TH ST,Oakland,CA,"500 17TH ST
Oakland, CA
(37.806915, -122.270726)"
ASSAULT,09/06/2017 02:16:00 AM,17-046776,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,07X,3500 SAN PABLO AV,Oakland,CA,"3500 SAN PABLO AV
Oakland, CA
(37.82608, -122.278193)"
DRUGS/ALCOHOL VIOLATIONS,10/03/2017 07:36:00 PM,17-051840,POSSESS NARCOTIC CONTROLLED SUBSTANCE,20X,2500 E 12TH ST,Oakland,CA,"2500 E 12TH ST
Oakland, CA
(37.781048, -122.234151)"
ROBBERY,10/04/2017 04:40:00 AM,17-051894,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03Y,400 12TH ST,Oakland,CA,"400 12TH ST
Oakland, CA
(37.795733, -122.255547)"
VANDALISM,09/05/2017 10:20:00 PM,17-914052,VANDALISM,04X,2100 FRANKLIN ST,Oakland,CA,"2100 FRANKLIN ST
Oakland, CA
(37.810619, -122.26661)"
SEX CRIMES,09/06/2017 05:16:00 PM,17-046899,DISORDERLY CONDUCT:PROSTITUTION,07X,3600 MANDELA PKWY,Oakland,CA,"3600 MANDELA PKWY
Oakland, CA
(37.827326, -122.289221)"
THEFT/LARCENY,10/20/2017 10:16:00 AM,17-916785,GRAND THEFT,31Y,600 HEGENBERGER ROAD,Oakland,CA,"600 HEGENBERGER ROAD
Oakland, CA
(37.744964, -122.195947)"
DRUGS/ALCOHOL VIOLATIONS,10/05/2017 06:30:00 PM,17-052289,POSSESS NARCOTIC CONTROLLED SUBSTANCE,30X,2400 CHURCH ST,Oakland,CA,"2400 CHURCH ST
Oakland, CA
(37.767949, -122.179698)"
THEFT/LARCENY,10/07/2017 02:25:00 PM,17-916215,THEFT,03Y,1300 JEFFERSON ST,Oakland,CA,"1300 JEFFERSON ST
Oakland, CA
(37.805017, -122.275237)"
ASSAULT,11/22/2017 09:00:00 PM,17-061229,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,33X,8000 INTERNATIONAL BLVD.,Oakland,CA,"8000 INTERNATIONAL BLVD.
Oakland, CA
(37.756407, -122.181108)"
THEFT/LARCENY,10/22/2017 02:45:00 PM,17-916773,BURGLARY-AUTO,23X,4000 ALAMEDA AVE,Oakland,CA,"4000 ALAMEDA AVE
Oakland, CA
(37.768208, -122.22405)"
THEFT/LARCENY,09/08/2017 12:50:00 PM,17-914162,THEFT,,MARKET ST,Oakland,CA,"MARKET ST
Oakland, CA
"
THEFT/LARCENY,10/24/2017 07:30:00 PM,17-916891,BURGLARY-AUTO,08X,2300 WEBSTER ST,Oakland,CA,"2300 WEBSTER ST
Oakland, CA
(37.812134, -122.265203)"
ASSAULT,11/10/2017 08:00:00 PM,17-059082,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,800 34TH AV,Oakland,CA,"800 34TH AV
Oakland, CA
(37.772305, -122.226049)"
DRUGS/ALCOHOL VIOLATIONS,08/28/2017 08:04:00 AM,17-045008,POSSESS CONTROLLED SUBSTANCE FOR SALE,05X,1700 LINDEN ST,Oakland,CA,"1700 LINDEN ST
Oakland, CA
(37.811312, -122.283158)"
ASSAULT,09/04/2017 11:00:00 AM,17-046378,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,1200 65TH AV,Oakland,CA,"1200 65TH AV
Oakland, CA
(37.761683, -122.196239)"
BURGLARY,11/08/2017 08:30:00 PM,17-058696,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,22Y,4100 REDWOOD RD,Oakland,CA,"4100 REDWOOD RD
Oakland, CA
(37.79774, -122.183222)"
MOTOR VEHICLE THEFT,10/28/2017 08:00:00 AM,17-056648,VEHICLE THEFT - AUTO,07X,2500 MANDELA PKWY,Oakland,CA,"2500 MANDELA PKWY
Oakland, CA
(37.81977, -122.288991)"
VANDALISM,10/24/2017 12:00:00 AM,17-916870,VANDALISM,,77TH AVE,Oakland,CA,"77TH AVE
Oakland, CA
"
BURGLARY,11/10/2017 02:40:00 PM,17-059031,BURGLARY-FORCIBLE ENTRY,18Y,2100 19TH AV,Oakland,CA,"2100 19TH AV
Oakland, CA
(37.791464, -122.236229)"
VANDALISM,09/05/2017 07:00:00 AM,17-046663,VANDALISM,03Y,700 27TH ST,Oakland,CA,"700 27TH ST
Oakland, CA
(37.817375, -122.273135)"
DUI,08/29/2017 01:42:00 AM,17-045182,DUI ALCOHOL/DRUGS,03X,900 WEBSTER ST,Oakland,CA,"900 WEBSTER ST
Oakland, CA
(37.799945, -122.270933)"
MOTOR VEHICLE THEFT,08/28/2017 08:15:00 AM,17-045239,VEHICLE THEFT - AUTO,17Y,1000 BELLA VISTA AV,Oakland,CA,"1000 BELLA VISTA AV
Oakland, CA
(37.800766, -122.237544)"
ROBBERY,09/04/2017 03:30:00 AM,17-046335,ROBBERY-KNIFE OR CUTTING INSTRUMENT,19X,1800 EMBARCADERO COVE,Oakland,CA,"1800 EMBARCADERO COVE
Oakland, CA
"
MOTOR VEHICLE THEFT,10/03/2017 08:15:00 AM,17-051989,VEHICLE THEFT - AUTO,20X,300 LANCASTER ST,Oakland,CA,"300 LANCASTER ST
Oakland, CA
(37.770115, -122.231133)"
BURGLARY,09/20/2017 06:20:00 PM,17-916202,BURGLARY-FORCIBLE ENTRY,,FAIRMOUNT AVE,Oakland,CA,"FAIRMOUNT AVE
Oakland, CA
"
HOMICIDE,08/28/2017 02:00:00 PM,17-043164,MURDER,02X,1000 8TH ST,Oakland,CA,"1000 8TH ST
Oakland, CA
(37.804078, -122.284485)"
FRAUD,09/09/2017 09:40:00 AM,17-047362,GET CREDIT/ETC OTHER'S ID,19X,2100 MARIN WY,Oakland,CA,"2100 MARIN WY
Oakland, CA
(37.785676, -122.238621)"
WEAPONS,10/06/2017 03:40:00 PM,17-052477,CARRY CONCEALD STOLEN WPN,20X,3100 E 12TH ST,Oakland,CA,"3100 E 12TH ST
Oakland, CA
(37.776662, -122.227079)"
ROBBERY,08/30/2017 05:24:00 PM,17-045507,ATTEMPTED ROBBERY-KNIFE,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"3200 INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
ASSAULT,09/10/2017 03:00:00 PM,17-047540,BATTERY,21Y,3100 DAVIS ST,Oakland,CA,"3100 DAVIS ST
Oakland, CA
(37.789834, -122.220179)"
FRAUD,09/18/2017 09:00:00 AM,17-915382,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22X,1800 CARTER ST,Oakland,CA,"1800 CARTER ST
Oakland, CA
(37.815589, -122.207529)"
DRUGS/ALCOHOL VIOLATIONS,11/11/2017 01:42:00 AM,17-059096,"SIMPLE POSSESSION OF METHAMPHETAMINE, ECSTASY, GHB, LISTED SUBSTANCES",19X,2100 INTERNATIONAL BLVD,Oakland,CA,"2100 INTERNATIONAL BLVD
Oakland, CA
(37.785198, -122.238939)"
THEFT/LARCENY,10/06/2017 03:25:00 AM,17-052359,THEFT,19X,1100 EMBARCADERO COVE,Oakland,CA,"1100 EMBARCADERO COVE
Oakland, CA
"
THEFT/LARCENY,09/28/2017 07:30:00 PM,17-915367,BURGLARY-AUTO,08X,2400 WEBSTER ST,Oakland,CA,"2400 WEBSTER ST
Oakland, CA
(37.813468, -122.26486)"
MOTOR VEHICLE THEFT,08/30/2017 11:59:00 PM,17-048079,VEHICLE THEFT - AUTO,12X,4000 TELEGRAPH AV,Oakland,CA,"4000 TELEGRAPH AV
Oakland, CA
(37.829455, -122.264364)"
VANDALISM,11/24/2017 04:14:00 PM,17-061367,VANDALISM,33X,1100 86TH AV,Oakland,CA,"1100 86TH AV
Oakland, CA
(37.750321, -122.18139)"
ASSAULT,09/02/2017 04:47:00 PM,17-046095,BATTERY,23X,1600 35TH AV,Oakland,CA,"1600 35TH AV
Oakland, CA
(37.779176, -122.221017)"
FRAUD,10/23/2017 10:40:00 AM,17-916838,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,35X,2600 90TH AVE,Oakland,CA,"2600 90TH AVE
Oakland, CA
(37.755869, -122.160283)"
ASSAULT,10/28/2017 06:50:00 PM,17-056726,THREAT CRIME:INT:TERRORIZE,30X,6800 ARTHUR ST,Oakland,CA,"6800 ARTHUR ST
Oakland, CA
(37.766394, -122.183098)"
THEFT/LARCENY,10/24/2017 06:20:00 AM,17-916896,BURGLARY-AUTO,09X,4000 PIEDMONT AVE,Oakland,CA,"4000 PIEDMONT AVE
Oakland, CA
(37.825445, -122.253685)"
ASSAULT,09/13/2017 11:15:00 AM,17-048042,BATTERY,34X,1700 84TH AV,Oakland,CA,"1700 84TH AV
Oakland, CA
(37.756024, -122.174434)"
MOTOR VEHICLE THEFT,09/10/2017 03:52:00 PM,17-047532,VEHICLE THEFT - AUTO,26X,600 50TH AV,Oakland,CA,"600 50TH AV
Oakland, CA
(37.76281, -122.215133)"
THEFT/LARCENY,10/25/2017 06:10:00 AM,17-916886,BURGLARY-AUTO,10Y,600 45TH ST,Oakland,CA,"600 45TH ST
Oakland, CA
(37.833425, -122.266531)"
ROBBERY,09/16/2017 12:50:00 PM,17-048617,ROBBERY-FIREARM,26X,5400 COLISEUM WAY,Oakland,CA,"5400 COLISEUM WAY
Oakland, CA
(37.762788, -122.212525)"
ASSAULT,09/27/2017 05:22:00 PM,17-050734,BATTERY,30X,7300 LOCKWOOD ST,Oakland,CA,"7300 LOCKWOOD ST
Oakland, CA
(37.762725, -122.180956)"
THEFT/LARCENY,09/30/2017 11:10:00 AM,17-915388,BURGLARY-AUTO,,00,Oakland,CA,"00
Oakland, CA
"
